trace,l1_fraction,l2_multiplier,policy,seed,window,selector,arrival_rejection,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi0,4,600,learned,False,2,6144.0,6144.0,6553.6,6656,0.0,1.0,0,42752.0,0.466938843973565
conversation_trace,0.0025,1,pi0,4,600,learned,True,6,13141.333333333334,7680.0,27648.0,28672,0.0,1.0,0,47274.666666666664,0.02791270596198972
conversation_trace,0.0025,1,pi0,4,600,lfu,False,2,6144.0,6144.0,6553.6,6656,0.0,1.0,0,42752.0,0.39780327922161907
conversation_trace,0.0025,1,pi0,4,600,lfu,True,6,13909.333333333334,7680.0,27648.0,28672,0.0,1.0,0,47274.666666666664,-0.02813149317849815
conversation_trace,0.0025,1,pi0,4,600,lru,False,2,24832.0,24832.0,27904.0,28672,0.0,1.0,0,42752.0,-0.49760958486727513
conversation_trace,0.0025,1,pi0,4,600,lru,True,6,25088.0,27648.0,39168.0,40960,0.16666666666666666,0.8333333333333334,0,47274.666666666664,-0.06469535192429501
conversation_trace,0.0025,1,pi0,4,600,next_use,False,2,24832.0,24832.0,27904.0,28672,0.0,1.0,0,42752.0,-0.21872005436587438
conversation_trace,0.0025,1,pi0,4,600,next_use,True,6,23637.333333333332,27648.0,36608.0,37376,0.16666666666666666,0.8333333333333334,0,47274.666666666664,0.06553291077240057
conversation_trace,0.0025,1,pi0,4,end,count,False,2,28416.0,28416.0,30259.2,30720,0.0,1.0,0,51456.0,-0.022400257817400904
conversation_trace,0.0025,1,pi0,4,end,count,True,6,27050.666666666668,29696.0,48128.0,51712,0.16666666666666666,0.8333333333333334,0,52821.333333333336,-0.021485752562219414
conversation_trace,0.0025,1,pi0,4,end,learned,False,2,16896.0,16896.0,19353.6,19968,0.0,1.0,0,51456.0,0.3203591674752878
conversation_trace,0.0025,1,pi0,4,end,learned,True,6,13397.333333333334,13568.0,17920.0,20480,0.0,1.0,0,52821.333333333336,-0.007149216774965873
conversation_trace,0.0025,1,pi0,4,end,lfu,False,2,16896.0,16896.0,19353.6,19968,0.0,1.0,0,51456.0,0.26602045327702284
conversation_trace,0.0025,1,pi0,4,end,lfu,True,6,15786.666666666666,14592.0,21760.0,23040,0.0,1.0,0,52821.333333333336,-0.07433559861040484
conversation_trace,0.0025,1,pi0,4,end,lru,False,2,28416.0,28416.0,30259.2,30720,0.0,1.0,0,51456.0,-0.360478939565938
conversation_trace,0.0025,1,pi0,4,end,lru,True,6,28586.666666666668,25600.0,48128.0,51712,0.16666666666666666,0.8333333333333334,0,52821.333333333336,-0.036342879665479624
conversation_trace,0.0025,1,pi0,4,end,next_use,False,2,28416.0,28416.0,30259.2,30720,0.0,1.0,0,51456.0,-0.2492132228458383
conversation_trace,0.0025,1,pi0,4,end,next_use,True,6,27050.666666666668,29696.0,48128.0,51712,0.16666666666666666,0.8333333333333334,0,52821.333333333336,0.03375093234438572
conversation_trace,0.0025,1,pi3,0,600,count,True,8,10752.0,10240.0,18688.0,20480,0.125,0.875,0,29615.625,0.15822499158267053
conversation_trace,0.0025,1,pi3,0,600,learned,True,8,24559.625,24832.0,31385.6,31744,0.0,1.0,0,29615.625,-0.18502799880701282
conversation_trace,0.0025,1,pi3,0,600,lfu,True,8,21088.75,20932.5,28723.2,31232,0.0,1.0,0,29615.625,-0.08142844981514882
conversation_trace,0.0025,1,pi3,0,600,lru,True,8,10752.0,10240.0,18688.0,20480,0.125,0.875,0,29615.625,0.325313250835581
conversation_trace,0.0025,1,pi3,0,600,next_use,True,8,10752.0,10240.0,18688.0,20480,0.125,0.875,0,29615.625,0.22163867925725203
conversation_trace,0.0025,1,pi3,0,end,count,True,8,11648.0,12800.0,17920.0,17920,0.125,0.875,0,31023.625,0.21255715808356884
conversation_trace,0.0025,1,pi3,0,end,learned,True,8,26543.625,27136.0,34099.2,34816,0.0,1.0,0,31023.625,-0.10891644752846662
