trace,l1_fraction,l2_multiplier,policy,seed,replicate,window,selector,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi0,1,1,600,lfu,2,16384.0,16384.0,24166.4,26112,0.0,1.0,0,57600.0,0.466932744322779
conversation_trace,0.0025,1,pi0,1,1,600,lru,2,22784.0,22784.0,27494.4,28672,0.0,1.0,0,57600.0,-0.5533287221361987
conversation_trace,0.0025,1,pi0,1,1,600,next_use,2,22784.0,22784.0,27494.4,28672,0.0,1.0,0,57600.0,0.19196199386871987
conversation_trace,0.0025,1,pi0,1,1,end,count,2,44032.0,44032.0,46080.0,46592,0.0,1.0,0,97536.0,0.2662397539960766
conversation_trace,0.0025,1,pi0,1,1,end,learned,2,21760.0,21760.0,24012.8,24576,0.0,1.0,0,97536.0,0.24012560453770948
conversation_trace,0.0025,1,pi0,1,1,end,lfu,2,21760.0,21760.0,24012.8,24576,0.0,1.0,0,97536.0,0.47313575489243526
conversation_trace,0.0025,1,pi0,1,1,end,lru,2,44032.0,44032.0,46080.0,46592,0.0,1.0,0,97536.0,-0.38234495814279573
conversation_trace,0.0025,1,pi0,1,1,end,next_use,2,44032.0,44032.0,46080.0,46592,0.0,1.0,0,97536.0,0.4043472057544253
conversation_trace,0.0025,1,pi0,1,2,600,count,2,39168.0,39168.0,67225.6,74240,0.0,1.0,0,75776.0,-0.2848891724138285
conversation_trace,0.0025,1,pi0,1,2,600,learned,2,57344.0,57344.0,58982.4,59392,0.0,1.0,0,75776.0,-0.002364328418364238
conversation_trace,0.0025,1,pi0,1,2,600,lfu,2,57344.0,57344.0,58982.4,59392,0.0,1.0,0,75776.0,-0.11590091389700442
conversation_trace,0.0025,1,pi0,1,2,600,lru,2,39168.0,39168.0,67225.6,74240,0.0,1.0,0,75776.0,0.022436280603429337
