trace,l1_fraction,l2_multiplier,cell,target,seed,window,left_iteration,right_iteration,left_decisions,right_decisions,shared_event_keys,left_only_event_keys,right_only_event_keys,exact_ordered_candidate_sets,different_candidate_sets_on_shared_keys,exact_match_share_of_shared,exact_match_share_of_key_union,candidate_set_jaccard_mean,candidate_set_jaccard_min,prediction_agreement_exact_sets,prediction_comparable_exact_sets,prediction_agreement_rate
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,test,2,3,40000.0,40000.0,25975.0,14025.0,14025.0,0.0,25975.0,0.0,0.0,0.017899499434093802,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,train,0,1,40000.0,40000.0,14043.0,25957.0,25957.0,0.0,14043.0,0.0,0.0,0.020460727890738658,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,train,0,2,40000.0,40000.0,13952.0,26048.0,26048.0,0.0,13952.0,0.0,0.0,0.02021968703328122,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,train,0,3,40000.0,40000.0,13805.0,26195.0,26195.0,0.0,13805.0,0.0,0.0,0.01704051064997309,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,train,1,2,40000.0,40000.0,14042.0,25958.0,25958.0,0.0,14042.0,0.0,0.0,0.023384523906442082,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,train,1,3,40000.0,40000.0,13811.0,26189.0,26189.0,0.0,13811.0,0.0,0.0,0.025154523459296103,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,train,2,3,40000.0,40000.0,14034.0,25966.0,25966.0,7.0,14027.0,0.0004987886561208494,0.0001061152715035018,0.024846028549940148,0.0,6.0,7.0,0.8571428571428571
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,test,0,1,40000.0,40000.0,25865.0,14135.0,14135.0,0.0,25865.0,0.0,0.0,0.011527147190506416,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,test,0,2,40000.0,40000.0,25853.0,14147.0,14147.0,0.0,25853.0,0.0,0.0,0.015041686739362058,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,test,0,3,40000.0,40000.0,25896.0,14104.0,14104.0,0.0,25896.0,0.0,0.0,0.009642206080884178,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,test,1,2,40000.0,40000.0,25904.0,14096.0,14096.0,0.0,25904.0,0.0,0.0,0.020328463804546087,0.0,0.0,0.0,nan
