trace,target,horizon_seconds,split_ms,train_rows,train_positives,ranker_standardize,fit_iterations,fit_converged,fit_condition_number,max_standardized_coefficient_deviation,published_fit_matched,model_path,model_sha256,seconds
conversation_trace,next_use,600.0,2122199.4,142484,21481,True,1,True,855.2881101454824,0.0,True,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/pi0/conversation_trace__next_use.json,87c24bb2abdcdc62028405a19eaff0b24c3bffacfd8d50334fc76d76e0b2d60c,3.567061185836792
conversation_trace,binary,600.0,2122199.4,142484,21910,True,7,True,nan,0.0,True,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/pi0/conversation_trace__binary.json,fce76395064b55fd399cbc6fb72b969d45f49f1b39548fb62d0c8aca3f320e96,3.123574733734131
toolagent_trace,next_use,600.0,2122199.4,142417,19682,True,1,True,836.65192258519,0.0,True,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/pi0/toolagent_trace__next_use.json,2696e5e55f005760cd2a8aafe376b346718f72dcd46864fe8a35217951121c4c,3.1664986610412598
toolagent_trace,binary,600.0,2122199.4,142417,20426,True,7,True,nan,0.0,True,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/pi0/toolagent_trace__binary.json,a65177cf0a9a21996aedeef1cb62244019828c8cb19d7220b1ff517e7a049090,3.348113775253296
