trace,l1_fraction,l2_multiplier,cell,target,seed,iteration,policy,requested_tokens,requested_blocks,measured_requests,l1_avoided_tokens,l2_avoided_tokens,avoided_prefill_tokens,l2_present_unusable_tokens,attribution_measured_requests,fully_served_requests,beyond_prefix_tokens,beyond_prefix_blocks,l2_hit_tokens,l2_hit_blocks_checked,downstream_absent_tokens,downstream_absent_blocks,unexplained_states,unexplained_after_promotion,root_rejected_tokens,root_rejected_blocks,unusable_after_rejected_tokens,unusable_after_rejected_blocks,absent_rejected_tokens,absent_rejected_blocks,downstream_rejected_tokens,downstream_rejected_blocks,root_evicted_tokens,root_evicted_blocks,unusable_after_evicted_tokens,unusable_after_evicted_blocks,absent_evicted_tokens,absent_evicted_blocks,downstream_evicted_tokens,downstream_evicted_blocks,root_compulsory_tokens,root_compulsory_blocks,unusable_after_compulsory_tokens,unusable_after_compulsory_blocks,absent_compulsory_tokens,absent_compulsory_blocks,downstream_compulsory_tokens,downstream_compulsory_blocks,root_unexplained_tokens,root_unexplained_blocks,unusable_after_unexplained_tokens,unusable_after_unexplained_blocks,absent_unexplained_tokens,absent_unexplained_blocks,downstream_unexplained_tokens,downstream_unexplained_blocks,root_loss_tokens,unusable_tokens,decision_loss_tokens,absent_loss_tokens,perblock_decision_loss_tokens,attribution_partition_verified,requested_tokens_share_of_input,l1_avoided_tokens_share_of_input,l2_avoided_tokens_share_of_input,avoided_prefill_tokens_share_of_input,l2_present_unusable_tokens_share_of_input,beyond_prefix_tokens_share_of_input,l2_hit_tokens_share_of_input,downstream_absent_tokens_share_of_input,root_rejected_tokens_share_of_input,unusable_after_rejected_tokens_share_of_input,absent_rejected_tokens_share_of_input,downstream_rejected_tokens_share_of_input,root_evicted_tokens_share_of_input,unusable_after_evicted_tokens_share_of_input,absent_evicted_tokens_share_of_input,downstream_evicted_tokens_share_of_input,root_compulsory_tokens_share_of_input,unusable_after_compulsory_tokens_share_of_input,absent_compulsory_tokens_share_of_input,downstream_compulsory_tokens_share_of_input,root_unexplained_tokens_share_of_input,unusable_after_unexplained_tokens_share_of_input,absent_unexplained_tokens_share_of_input,downstream_unexplained_tokens_share_of_input,root_loss_tokens_share_of_input,unusable_tokens_share_of_input,decision_loss_tokens_share_of_input,absent_loss_tokens_share_of_input,perblock_decision_loss_tokens_share_of_input,published_pi0_loss_reference_status
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,0,pi0,58742117,117184,5183,2662942,595456,3258398,610304,5183,3,56079175,111981,595456,1163,52288023,104446,0,0,776543,1520,175104,342,14932615,29180,14156072,27660,316008,618,435200,850,4902172,9587,4586164,8969,1492841,3042,0,0,35038628,70859,33545787,67817,0,0,0,0,0,0,0,0,2585392,610304,1702855,54873415,20445091,True,1.0,0.045332755031624074,0.010136781416985704,0.055469536448609774,0.010389547247675802,0.954667244968376,0.010136781416985704,0.8901283384117736,0.013219526970742305,0.002980893589517722,0.254206279286802,0.2409867523160597,0.005379581399832764,0.007408653658158081,0.08345242307150762,0.07807284167167486,0.025413469521365736,0.0,0.5964822139454048,0.5710687444240391,0.0,0.0,0.0,0.0,0.0440125778919408,0.010389547247675802,0.028988655618250873,0.9341409163037144,0.3480482496059854,matched
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,1,pi1,58742117,117184,5183,2662942,345088,3008030,327363,5183,3,56079175,111981,345088,674,52819037,105487,0,0,937232,1833,88259,173,16843635,32912,15906403,31079,170037,333,239104,467,3524461,6896,3354424,6563,1480418,3014,0,0,35038628,70859,33558210,67845,0,0,0,0,0,0,0,0,2587687,327363,1434632,55406724,20695459,True,1.0,0.045332755031624074,0.005874626547762996,0.05120738157938707,0.005572883932664531,0.954667244968376,0.005874626547762996,0.8991680875239821,0.015955025931394334,0.0015024824522412088,0.2867386444380273,0.27078361850663296,0.00289463520696743,0.004070401480423322,0.05999887610451629,0.057104240897548855,0.02520198582560448,0.0,0.5964822139454048,0.5712802281198003,0.0,0.0,0.0,0.0,0.04405164696396625,0.005572883932664531,0.024422545071026296,0.9432197344879484,0.3523104044752081,not_applicable_to_updated_policy
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,2,pi2,58742117,117184,5183,2662942,29696,2692638,932864,5183,3,56079175,111981,29696,58,52528443,104921,0,0,992967,1942,683520,1335,16696923,32624,15703956,30682,118079,231,249344,487,3381064,6618,3262985,6387,1477126,3007,0,0,35038628,70859,33561502,67852,0,0,0,0,0,0,0,0,2588172,932864,2043910,55116615,21010851,True,1.0,0.045332755031624074,0.0005055316613801985,0.04583828669300427,0.01588066701784003,0.954667244968376,0.0005055316613801985,0.8942211428982036,0.016903834092325955,0.01163594427487181,0.2842410837866126,0.2673372496942866,0.002010125035160037,0.0042447227429682184,0.057557748557138314,0.05554762352197828,0.025145944263466023,0.0,0.5964822139454048,0.5713362696819387,0.0,0.0,0.0,0.0,0.04405990339095202,0.01588066701784003,0.03479462614532602,0.9382810462891557,0.35767949936159094,not_applicable_to_updated_policy
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,3,pi3,58742117,117184,5183,2662942,45568,2708510,314368,5183,3,56079175,111981,45568,89,53131218,106098,0,0,1011795,1978,87040,170,18440164,36029,17428369,34051,98739,194,227328,444,2240447,4390,2141708,4196,1477487,3008,0,0,35038628,70859,33561141,67851,0,0,0,0,0,0,0,0,2588021,314368,1424902,55719239,20994979,True,1.0,0.045332755031624074,0.0007757296183247873,0.046108484649948864,0.005351662760128308,0.954667244968376,0.0007757296183247873,0.904482519756651,0.017224353694981747,0.0014817307316316163,0.3139172529311465,0.29669289923616476,0.0016808893693770009,0.0038699320284966915,0.03814038571337155,0.03645949634399455,0.025152089768913165,0.0,0.5964822139454048,0.5713301241764916,0.0,0.0,0.0,0.0,0.04405733283327191,0.005351662760128308,0.024256905824487054,0.9485398525899228,0.35740930140464633,not_applicable_to_updated_policy
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,0,pi0,58742117,117184,5183,2662942,580608,3243550,624128,5183,3,56079175,111981,580608,1134,52289354,104448,0,0,765079,1498,162816,318,14955943,29226,14190864,27728,325936,637,461312,901,4879868,9543,4553932,8906,1494070,3045,0,0,35038628,70859,33544558,67814,0,0,0,0,0,0,0,0,2585085,624128,1715143,54874439,20459939,True,1.0,0.045332755031624074,0.009884015586295605,0.05521677061791968,0.010624880952111412,0.954667244968376,0.009884015586295605,0.8901509967711922,0.013024368869783838,0.002771708074463847,0.2546034049130371,0.24157903604325326,0.005548591311409495,0.007853172877647566,0.08307272957152702,0.07752413826011752,0.025434391477583283,0.0,0.5964822139454048,0.5710478224678215,0.0,0.0,0.0,0.0,0.04400735165877662,0.010624880952111412,0.029197841133304748,0.9341583484299689,0.3483010154366755,matched
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,1,pi1,58742117,117184,5183,2662942,281088,2944030,365568,5183,3,56079175,111981,281088,549,52844832,105538,0,0,942862,1844,100864,197,17011042,33238,16068180,31394,164407,322,264704,517,3382849,6621,3218442,6299,1480418,3014,0,0,35038628,70859,33558210,67845,0,0,0,0,0,0,0,0,2587687,365568,1472837,55432519,20759459,True,1.0,0.045332755031624074,0.004785118656857396,0.05011787368848147,0.006223269072852788,0.954667244968376,0.004785118656857396,0.8996072102746995,0.016050868578672436,0.0017170644360672259,0.28958850768010286,0.2735376391014304,0.0027987925596893283,0.004506204636785562,0.0575881356131581,0.054789343053468775,0.02520198582560448,0.0,0.5964822139454048,0.5712802281198003,0.0,0.0,0.0,0.0,0.04405164696396625,0.006223269072852788,0.025072930211214553,0.9436588572386657,0.35339991236611373,not_applicable_to_updated_policy
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,2,pi2,58742117,117184,5183,2662942,29184,2692126,977920,5183,3,56079175,111981,29184,57,52483899,104834,0,0,993991,1944,796160,1555,16541430,32319,15547439,30375,117055,229,181760,355,3492013,6836,3374958,6607,1477126,3007,0,0,35038628,70859,33561502,67852,0,0,0,0,0,0,0,0,2588172,977920,2088966,55072071,21011363,True,1.0,0.045332755031624074,0.0004968155982529536,0.045829570629877026,0.01664768057303757,0.954667244968376,0.0004968155982529536,0.8934628454061334,0.016921266218580443,0.013553478162865666,0.2815940392478535,0.264672773029273,0.001992692908905547,0.0030942024101719046,0.05944649560382715,0.0574538026949216,0.025145944263466023,0.0,0.5964822139454048,0.5713362696819387,0.0,0.0,0.0,0.0,0.04405990339095202,0.01664768057303757,0.03556163970052356,0.9375227487970854,0.3576882154247182,not_applicable_to_updated_policy
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,3,pi3,58742117,117184,5183,2662942,66048,2728990,296448,5183,3,56079175,111981,66048,129,53128851,106093,0,0,1009934,1975,80896,158,18566651,36278,17556717,34303,98871,194,215552,421,2111400,4136,2012529,3942,1479023,3011,0,0,35038628,70859,33559605,67848,0,0,0,0,0,0,0,0,2587828,296448,1405253,55716679,20974499,True,1.0,0.045332755031624074,0.0011243721434145793,0.04645712717503865,0.00504660055067474,0.954667244968376,0.0011243721434145793,0.9044422249882482,0.017192672848341507,0.0013771379741046785,0.31607051206547426,0.29887783921713273,0.0016831364794019936,0.0036694625765700613,0.035943546263407566,0.034260409784005574,0.025178237958294897,0.0,0.5964822139454048,0.5713039759871099,0.0,0.0,0.0,0.0,0.0440540472860384,0.00504660055067474,0.02392240987841824,0.9484962722742866,0.35706065887955657,not_applicable_to_updated_policy
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,0,pi0,58742117,117184,5183,2662942,610816,3273758,592384,5183,3,56079175,111981,610816,1193,52290676,104451,0,0,764790,1496,151040,295,14916841,29147,14152051,27651,326737,640,441344,862,4920506,9625,4593769,8985,1493772,3044,0,0,35038628,70859,33544856,67815,0,0,0,0,0,0,0,0,2585299,592384,1683911,54875975,20429731,True,1.0,0.045332755031624074,0.010398263310803048,0.05573101834242712,0.010084485038222235,0.954667244968376,0.010398263310803048,0.8901735019185638,0.013019449060713967,0.0025712386225372162,0.2539377496388154,0.2409183005781014,0.00556222718360661,0.007513246415685019,0.08376453303513048,0.07820230585152388,0.025429318456466253,0.0,0.5964822139454048,0.5710528954889386,0.0,0.0,0.0,0.0,0.04401099470078683,0.010084485038222235,0.028666161282542815,0.9341844966193507,0.3477867677121681,matched
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,1,pi1,58742117,117184,5183,2662942,282112,2945054,389827,5183,3,56079175,111981,282112,551,52819549,105488,0,0,933778,1826,132291,259,16777516,32783,15843738,30957,173491,340,257536,503,3591092,7026,3417601,6686,1480418,3014,0,0,35038628,70859,33558210,67845,0,0,0,0,0,0,0,0,2587687,389827,1497096,55407236,20758435,True,1.0,0.045332755031624074,0.004802550783111885,0.05013530581473596,0.006636243634188397,0.954667244968376,0.004802550783111885,0.8991768035871094,0.015896226552407022,0.0022520638811842617,0.2856130636217963,0.26971683706938926,0.0029534345859547418,0.004384179753004135,0.061133172983874585,0.058179738397919845,0.02520198582560448,0.0,0.5964822139454048,0.5712802281198003,0.0,0.0,0.0,0.0,0.04405164696396625,0.006636243634188397,0.025485904772550163,0.9432284505510756,0.35338248023985924,not_applicable_to_updated_policy
