horizon_seconds,model,features,auc,average_precision,precision_at_100,delta_auc_vs_base,delta_ap_vs_base,delta_precision_at_100_vs_base,train_snapshots,test_snapshots,train_samples,train_positive_rate,test_samples,test_positive_rate,ridge,status,trace
1,base,frequency+recency+prefix_length,0.7574440223446391,0.050240076911010116,0.011111111111111112,0.0,0.0,0.0,15,9,324495,0.0013621165195149387,379662,0.0038903024268955016,0.001,ok,synthetic_trace
1,extended,frequency+recency+prefix_length+fan_out+branch_diversity,0.6815751956755675,0.02580681050346852,0.015555555555555557,-0.07586882666907169,-0.024433266407541596,0.004444444444444445,15,9,324495,0.0013621165195149387,379662,0.0038903024268955016,0.001,ok,synthetic_trace
10,base,frequency+recency+prefix_length,0.8344256258680649,0.17714954244649916,0.24222222222222223,0.0,0.0,0.0,15,9,322458,0.015738483771529935,378788,0.02676695143457554,0.001,ok,synthetic_trace
10,extended,frequency+recency+prefix_length+fan_out+branch_diversity,0.8340607240889937,0.1556871699224149,0.25888888888888884,-0.000364901779071225,-0.021462372524084256,0.016666666666666607,15,9,322458,0.015738483771529935,378788,0.02676695143457554,0.001,ok,synthetic_trace
60,base,frequency+recency+prefix_length,0.8140863782688551,0.38621166289363296,0.8022222222222222,0.0,0.0,0.0,14,9,273333,0.09445255421043196,373305,0.1254684507306358,0.001,ok,synthetic_trace
60,extended,frequency+recency+prefix_length+fan_out+branch_diversity,0.8161312945982918,0.3951286286369965,0.8788888888888889,0.002044916329436708,0.008916965743363536,0.07666666666666677,14,9,273333,0.09445255421043196,373305,0.1254684507306358,0.001,ok,synthetic_trace
600,base,frequency+recency+prefix_length,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_embargoed_split,synthetic_trace
600,extended,frequency+recency+prefix_length+fan_out+branch_diversity,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_embargoed_split,synthetic_trace
3600,base,frequency+recency+prefix_length,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,synthetic_trace
3600,extended,frequency+recency+prefix_length+fan_out+branch_diversity,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,synthetic_trace
21600,base,frequency+recency+prefix_length,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,synthetic_trace
21600,extended,frequency+recency+prefix_length+fan_out+branch_diversity,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,synthetic_trace
86400,base,frequency+recency+prefix_length,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,synthetic_trace
86400,extended,frequency+recency+prefix_length+fan_out+branch_diversity,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,synthetic_trace
