trace,l1_policy,l1_fraction,l1_capacity_bytes,requested_tokens,l1_avoided_tokens,depth_bin,events_measured,share_of_events,evicted_bytes_share,share_reused_before_end,share_reused_with_l1_ancestors,median_distinct_bytes_to_reuse,rescue_tokens_self,rescue_tokens_with_ancestors,rescue_share_with_ancestors,missing_ancestor_bytes
conversation_trace,lru,0.01,1857442038,58742117,3218284,2-3,9677,0.08725328428322829,0.0861092733498628,0.34215149323137334,0.5339776502567201,6410807296.0,1074947,2019920,0.09860384604401079,1938817024
conversation_trace,lru,0.01,1857442038,58742117,3218284,4-7,15410,0.13894524241030773,0.1386682504772666,0.33497728747566513,0.00019372336303758234,6540099584.0,512,3152987,0.1539153257192203,22098739200
conversation_trace,lru,0.01,1857442038,58742117,3218284,8-15,22986,0.20725472693337663,0.20651699495604328,0.30200991908117986,0.0005762028233938346,6782849024.0,2048,4285754,0.20921216067888995,80374398976
conversation_trace,lru,0.01,1857442038,58742117,3218284,16-31,27362,0.24671120848999611,0.24699661263990794,0.2802426723192749,0.0002608242044861763,7236382720.0,1024,4782930,0.23348216432298335,201585590272
conversation_trace,lru,0.01,1857442038,58742117,3218284,32-63,20774,0.18731008863281848,0.1877628190195736,0.2716376239530182,0.0,7621709824.0,0,3545094,0.1730563106398008,306472550400
conversation_trace,lru,0.01,1857442038,58742117,3218284,64+,14698,0.13252544925027276,0.1339460495573458,0.2930330657232276,0.0,11366264832.0,0,2698520,0.13173019259509486,556251742208
conversation_trace,lru,0.02,3714884076,58742117,4770907,1,0,0.0,0.0,nan,nan,nan,0,0,0.0,0
conversation_trace,lru,0.02,3714884076,58742117,4770907,2-3,9201,0.08532163688461503,0.08420552088965419,0.32344310401043364,0.5325940860215054,6015870976.0,965394,1817314,0.09598870349538166,1747976192
conversation_trace,lru,0.02,3714884076,58742117,4770907,4-7,14750,0.13677797457320634,0.1364626973167375,0.31661016949152543,0.00042826552462526765,6218676224.0,1024,2848834,0.15047255572430637,19969081344
conversation_trace,lru,0.02,3714884076,58742117,4770907,8-15,22213,0.20598299316573782,0.20519045234429373,0.285643542069959,0.00031520882584712374,6381463552.0,1024,3906043,0.20631327517820866,73309093888
conversation_trace,lru,0.02,3714884076,58742117,4770907,16-31,26645,0.2470812971188531,0.24736669682921555,0.2662413210733721,0.00042289258528333803,6491392000.0,1536,4401175,0.23246565101368635,185348390912
conversation_trace,lru,0.02,3714884076,58742117,4770907,32-63,20351,0.18871651257893712,0.18915942540372171,0.2613139403469117,0.000752162467092892,6610518016.0,2048,3309336,0.1747958096787855,285648879616
conversation_trace,lru,0.02,3714884076,58742117,4770907,64+,14679,0.13611958567865057,0.13761520721637732,0.29988418829620545,0.0,11280199680.0,0,2649880,0.13996400490963146,544807583744
synthetic_trace,lfu,0.0025,109270871,32087376,754176,1,1620,0.026093679530958057,0.02392403868699964,0.6061728395061728,1.0,3530512384.0,637999,637999,0.02270812707345457,0
synthetic_trace,lfu,0.0025,109270871,32087376,754176,2-3,2816,0.04535790219702339,0.04567699456803233,0.6949573863636364,0.000510986203372509,3527393280.0,512,1267712,0.04512133277410034,3891265536
synthetic_trace,lfu,0.0025,109270871,32087376,754176,4-7,5412,0.08717221828490432,0.08731144169606864,0.6897634885439764,0.0018751674256630056,3543748608.0,2491,2418871,0.08609422591931043,22091399168
synthetic_trace,lfu,0.0025,109270871,32087376,754176,8-15,9072,0.1461246053733651,0.14614961446820024,0.6683201058201058,0.0021441530595414813,3756046336.0,4912,4004196,0.14252027290798025,85181071360
synthetic_trace,lfu,0.0025,109270871,32087376,754176,16-31,15216,0.2450873010759616,0.24697438465694532,0.660686119873817,0.000596836765144733,3780878336.0,3072,6722909,0.23928669461123198,304274735104
synthetic_trace,lfu,0.0025,109270871,32087376,754176,32-63,16649,0.2681689324141486,0.26809826365397,0.6727731395278995,0.00017855548611731096,3769434112.0,1536,7669387,0.27297443189017623,699943354368
synthetic_trace,lfu,0.0025,109270871,32087376,754176,64+,11299,0.18199536112363895,0.18186526226978383,0.7590052217010355,0.0008162313432835821,3949017088.0,1535,5374550,0.19129491482374622,1225995059200
synthetic_trace,lfu,0.01,437083484,32087376,2482701,1,1539,0.026214931779855895,0.023936884590710767,0.5912930474333983,1.0,3780878336.0,598050,598050,0.022681676129785836,0
synthetic_trace,lfu,0.01,437083484,32087376,2482701,2-3,2655,0.045224589912616894,0.045559507332082,0.6832391713747646,0.0005512679162072767,3772964864.0,512,1187328,0.04503066492070288,3644850176
synthetic_trace,lfu,0.01,437083484,32087376,2482701,4-7,5133,0.08743420716439267,0.08758410154499854,0.6789401909214884,0.004591104734576757,3780878336.0,5388,2277559,0.08637882385164936,20757610496
synthetic_trace,lfu,0.01,437083484,32087376,2482701,8-15,8619,0.14681383821350094,0.1468483977942953,0.6556445063232393,0.003893116262608388,3834097664.0,8618,3771236,0.1430280972510476,80009494528
synthetic_trace,lfu,0.01,437083484,32087376,2482701,16-31,14465,0.24639310474049092,0.24840623214809762,0.646802627030764,0.0008550662676357417,3834097664.0,3420,6335837,0.24029329127182328,286635589632
synthetic_trace,lfu,0.01,437083484,32087376,2482701,32-63,15769,0.2686051067164052,0.26853247026281785,0.6588242754772021,0.0010588122052170566,3962302464.0,3364,7207051,0.2733349998041119,657368023040
synthetic_trace,lfu,0.01,437083484,32087376,2482701,64+,10527,0.17931422147273748,0.17913240632699795,0.7468414553054051,0.0026710760620707198,3949017088.0,6442,4990038,0.18925244677087913,1161682747392
synthetic_trace,lfu,0.02,874166968,32087376,3986445,1,1461,0.026196880043033888,0.02379663829087023,0.5735797399041752,1.0,3958906880.0,557602,557602,0.02242665963623976,0
synthetic_trace,lfu,0.02,874166968,32087376,3986445,2-3,2498,0.04479110632956787,0.045136953406262795,0.6681345076060848,0.0,3958906880.0,0,1105920,0.04447991833764993,3396337664
synthetic_trace,lfu,0.02,874166968,32087376,3986445,4-7,4833,0.08665949435180205,0.08680491303067968,0.6639768259879991,0.005609224057338735,3985154048.0,5569,2121911,0.08534290726251546,19339935744
synthetic_trace,lfu,0.02,874166968,32087376,3986445,8-15,8138,0.14592074592074591,0.14594274840019608,0.6409437208159253,0.005751533742331288,4072888320.0,11236,3521380,0.14162931752372115,74702651392
synthetic_trace,lfu,0.02,874166968,32087376,3986445,16-31,13634,0.24446835216065985,0.24655815833090874,0.6315094616400176,0.0009291521486643438,4048099328.0,3608,5906269,0.2375491561778368,267869224960
synthetic_trace,lfu,0.02,874166968,32087376,3986445,32-63,15065,0.27012730858884704,0.27007533981776555,0.6450049784268171,0.0026757229597612433,4006008832.0,6990,6844555,0.2752868629354325,624071540736
