trace,request_count,unique_timestamp_count,duration_seconds,state_count,block_size_tokens,bytes_per_token,total_unique_state_bytes,potential_reuse_events,two_hit_lost_reuse_events,two_hit_lost_reuse_fraction,potential_reuse_x_prefix_tokens,two_hit_lost_prefix_value,two_hit_lost_prefix_value_fraction,estimated_avoided_prefill_tokens_unbounded,two_hit_lost_avoided_prefill_tokens,two_hit_lost_avoided_prefill_fraction,inter_arrival_count,inter_arrival_p50_seconds,inter_arrival_p90_seconds,inter_arrival_p99_seconds
conversation_trace,12031,1180,3536.999,182790,512,2048,185744203776,105710,44144,0.41759530791788857,1517818347,697460148,0.4595149013572966,54098411,22582196,0.41742808305404755,105710.0,113.999,519.0,1578.0
toolagent_trace,23608,1180,3536.999,183300,512,2048,178465392640,226316,39481,0.174450767952774,1768686331,581982723,0.32904801309283144,115798779,20168707,0.17417029069019804,226316.0,0.0,243.0,609.0
synthetic_trace,3993,3982,1022.025,43924,512,2048,43708348416,77953,18251,0.23412825677010507,1585601141,339037733,0.21382283616810288,39852661,9291813,0.23315414245487898,77953.0,59.387,281.764,582.892
