trace,policy,eviction,capacity_fraction,seeds,avoided_prefill_tokens_mean,avoided_prefill_tokens_std,avoided_prefill_tokens_ci95_half,headroom_closure_mean,headroom_closure_std,headroom_closure_ci95_half,gain_vs_lru_fraction_mean,gain_vs_lru_fraction_std,gain_vs_lru_fraction_ci95_half,block_hit_rate_mean,block_hit_rate_std,block_hit_rate_ci95_half
conversation_trace,learned_binary_h300,sampled,0.001,5,2676224.0,0.0,0.0,0.008343777870618109,0.0,0.0,0.008489291915878834,0.0,0.0,0.0446050655379574,0.0,0.0
conversation_trace,learned_binary_h300,sampled,0.0025,5,2897408.0,8199.996097560046,10180.007672342253,0.045452259126249984,0.001480642231000321,0.001838165420110658,0.08854396853847084,0.002858619042671627,0.0035488753214602048,0.04829157564172583,0.0001366706835237489,0.00016967186207198504
conversation_trace,learned_binary_h300,sampled,0.01,5,5431284.8,85172.83634586792,105739.09025811429,0.18919160019347597,0.007400619779123855,0.009187609998251831,0.710319648090436,0.02889027759508148,0.035866266773168225,0.0905277170944839,0.0014194848698702049,0.0017622407003769452
conversation_trace,learned_binary_h300,sampled,0.02,5,8467577.6,47324.66262742926,58751.909501711896,0.2564828767882691,0.003578955655239545,0.004443147971759686,0.8122991657533826,0.013384005530921755,0.01661577363823336,0.14113530857454942,0.0007891008596186866,0.0009796410522146927
conversation_trace,learned_binary_h300,sampled,0.05,5,13043089.4,32971.85099141388,40933.397049273524,0.0701046138604449,0.00322307636452617,0.004001336309072691,0.06566680322937875,0.003095528043558533,0.003842989540294195,0.21739827962861824,0.0005500226947835251,0.0006828338923874282
conversation_trace,learned_binary_h60,sampled,0.001,5,2699264.0,0.0,0.0,0.01687718705647754,0.0,0.0,0.01717152228439128,0.0,0.0,0.04498907700709995,0.0,0.0
conversation_trace,learned_binary_h60,sampled,0.0025,5,3186278.4,14885.029687575367,18479.242504474845,0.10116220223239143,0.002826720401933385,0.0035092742773146814,0.1970714811854876,0.0054794561901368504,0.00680255275639147,0.05310622610595304,0.0002480912377845593,0.0003079965739055897
conversation_trace,learned_binary_h60,sampled,0.01,5,5917009.6,45628.437588854606,56646.1055840921,0.22993368496890793,0.0039260704963177745,0.004874078877496543,0.863252660480984,0.015462012588178193,0.019195546547191987,0.0986209721463681,0.000759450995908073,0.0009428317859093389
conversation_trace,learned_binary_h60,sampled,0.02,5,8661031.0,73858.26635522932,91692.44829102511,0.26955558827297105,0.005410287898897444,0.006716682747781408,0.8537135010068402,0.01939586680874177,0.024079288645450943,0.14435588476242495,0.0012308114698305454,0.001528009288908085
conversation_trace,learned_binary_h60,sampled,0.05,5,13261114.4,57690.83257589545,71621.1460662988,0.0891258941890511,0.004484805493060411,0.005567728787322554,0.0834774218374096,0.0041255910846981925,0.005121776693000049,0.2210301747678864,0.0009582425432017609,0.0011896245224630423
conversation_trace,learned_binary_h600,sampled,0.001,5,2676736.0,0.0,0.0,0.008533409185859429,0.0,0.0,0.008682230368512445,0.0,0.0,0.044613599126160565,0.0,0.0
conversation_trace,learned_binary_h600,sampled,0.0025,5,2993049.6,13892.098934286352,17246.55378531869,0.06389715607443512,0.002629408707546614,0.0032643187262629118,0.12447619865828814,0.005107000205558279,0.006340161709431356,0.049885649918077556,0.00023154189762278164,0.0002874511482962741
conversation_trace,learned_binary_h600,sampled,0.01,5,5474406.4,18585.670523282177,23073.458361637026,0.19280976986273238,0.0018742612546901287,0.002326829638174668,0.7238801770883629,0.008474228653347184,0.010520457776062397,0.09124283178590933,0.00030977042719813116,0.00038456912515849167
conversation_trace,learned_binary_h600,sampled,0.02,5,8421099.2,42303.6382737939,52518.483798224726,0.2533421439508682,0.0031874332901606134,0.003957086681854551,0.8023485053864586,0.012051488933982403,0.01496150099968877,0.14035704533042054,0.0007060635391163493,0.0008765531300075021
conversation_trace,learned_binary_h600,sampled,0.05,5,13206187.8,70246.77957173553,87208.9140640431,0.08433381135298137,0.005857098637811809,0.0072713826154541,0.0789905067440427,0.005469653835034959,0.006790383476192183,0.22011196067722558,0.0011683008964488704,0.0014504046036061839
conversation_trace,learned_count_h60,sampled,0.001,5,2921472.0,0.0,0.0,0.0991771778712107,0.0,0.0,0.10090681072737798,1.5515838457795457e-17,1.9262369477246465e-17,0.04869265428727471,0.0,0.0
conversation_trace,learned_count_h60,sampled,0.0025,5,3413226.0,48281.92400370971,59940.315939840766,0.14492940884957967,0.009374730485237518,0.011638399229757672,0.28233729381529926,0.0183227656747253,0.02274707120930639,0.05689513926815948,0.000802393291799558,0.0009961431407492988
conversation_trace,learned_count_h60,sampled,0.01,5,5524328.8,79761.43614679966,99021.02662866683,0.1969982144703737,0.006596038118082904,0.008188750073811145,0.7395843734406587,0.024472389618091037,0.030381613735992557,0.09207912342981978,0.0013285484118561093,0.0016493462758839163
conversation_trace,learned_count_h60,sampled,0.02,5,7766211.0,87462.87861715963,108582.09745157801,0.2090833269366222,0.006248758235727746,0.007757614275115145,0.6621950425438977,0.021193927400075828,0.026311517831579888,0.12944599945385035,0.0014577581819970346,0.0018097556755624833
conversation_trace,learned_count_h60,sampled,0.05,5,12807606.8,50133.91068129435,62239.49247146096,0.04956467455175761,0.004367086007970821,0.005421584173698556,0.046426215785890436,0.004106181797525352,0.005097680743443072,0.21347282905516107,0.0008359563285792715,0.0010378104742284275
conversation_trace,learned_count_h600,sampled,0.001,5,2867200.0,0.0,0.0,0.07907625845563071,0.0,0.0,0.08045533474821531,0.0,0.0,0.04778809393773894,0.0,0.0
conversation_trace,learned_count_h600,sampled,0.0025,5,3433267.2,16390.398750488042,20348.105419509357,0.14879538725986388,0.0030259975885365037,0.0037566699180450664,0.2898631161008111,0.005759694296248872,0.007150458540292015,0.057222829055161115,0.0002731814715280842,0.0003391452194623779
conversation_trace,learned_count_h600,sampled,0.01,5,5924864.0,46879.46484336186,58199.21206093331,0.23059241869229533,0.004044152474215111,0.0050206735132327625,0.8657268380402222,0.015939601504369388,0.019788456442905066,0.09875068268705625,0.0007813477503088405,0.0009700158388219417
conversation_trace,learned_count_h600,sampled,0.02,5,8234137.4,52361.49712145366,65004.96294020607,0.24070906405915662,0.0032992062530139946,0.004095848896600779,0.7623143781600701,0.010092252017268979,0.012529177056264749,0.13724740578918623,0.0008725442668666196,0.0010832331168795888
conversation_trace,learned_count_h600,sampled,0.05,5,13205720.0,61555.4900679054,76418.98285201905,0.08429409376455246,0.004812718610263494,0.005974821426059582,0.07895133430974696,0.0044330217923940155,0.005503441138424398,0.22012049426542873,0.00102306298724692,0.0012700968312121526
conversation_trace,learned_matched,sampled,0.001,5,2699264.0,0.0,0.0,0.01687718705647754,0.0,0.0,0.01717152228439128,0.0,0.0,0.04498907700709995,0.0,0.0
conversation_trace,learned_matched,sampled,0.0025,5,3186278.4,14885.029687575367,18479.242504474845,0.10116220223239143,0.002826720401933385,0.0035092742773146814,0.1970714811854876,0.0054794561901368504,0.00680255275639147,0.05310622610595304,0.0002480912377845593,0.0003079965739055897
conversation_trace,learned_matched,sampled,0.01,5,5917009.6,45628.437588854606,56646.1055840921,0.22993368496890793,0.0039260704963177745,0.004874078877496543,0.863252660480984,0.015462012588178193,0.019195546547191987,0.0986209721463681,0.000759450995908073,0.0009428317859093389
conversation_trace,learned_matched,sampled,0.02,5,8661031.0,73858.26635522932,91692.44829102511,0.26955558827297105,0.005410287898897444,0.006716682747781408,0.8537135010068402,0.01939586680874177,0.024079288645450943,0.14435588476242495,0.0012308114698305454,0.001528009288908085
conversation_trace,learned_matched,sampled,0.05,5,13055965.6,73891.67768632676,91733.92728721834,0.07122618100817828,0.006881314806487847,0.00854291108098124,0.06672025318611863,0.006526562106078662,0.008102498040659887,0.21761332605133807,0.0012284721918644943,0.0015251051573257266
conversation_trace,learned_next_use_h600,sampled,0.001,5,2855936.0,0.0,0.0,0.07490436952032166,0.0,0.0,0.0762106887902759,0.0,0.0,0.04760035499726925,0.0,0.0
conversation_trace,learned_next_use_h600,sampled,0.0025,5,3429068.8,16521.820335544144,20511.260709861333,0.14798568286465316,0.003060606100789426,0.003799635172670972,0.2882858853951591,0.005838528115882089,0.007248327963540278,0.05715285363189514,0.00027537189669971616,0.0003418645555190792
conversation_trace,learned_next_use_h600,sampled,0.01,5,6147174.4,50817.64430589045,63088.32379545363,0.24923854816735402,0.0044438809858600384,0.005516922446401174,0.935736963409553,0.017863681129136097,0.022177133840952948,0.10245596668487164,0.0008469860350810882,0.0010515034681611425
conversation_trace,learned_next_use_h600,sampled,0.02,5,8435200.0,26783.522098484358,33250.803684656574,0.25429609662202834,0.0018385100437185358,0.0022824457631512836,0.8053563183165886,0.007098303246824392,0.008812294622284738,0.1405908656471873,0.00044640536761505724,0.0005541966134164699
conversation_trace,learned_next_use_h600,sampled,0.05,5,13108413.2,42643.67309109289,52940.625102657454,0.07580110124011888,0.004442217009270352,0.005514856677802254,0.071005423715511,0.004278945165554902,0.005312160407959478,0.21849228563626433,0.0007125776092922297,0.0008846401197547739
conversation_trace,lfu,sampled,0.001,5,3107328.0,0.0,0.0,0.1680133453038101,0.0,0.0,0.17094346903337834,0.0,0.0,0.051790346805024576,0.0,0.0
conversation_trace,lfu,sampled,0.0025,5,3630080.0,0.0,0.0,0.18675121877413015,0.0001548760918639796,0.00019227323826493452,0.36380643079678787,0.0005058880016358869,0.000628042218158081,0.060503140360458764,0.0,0.0
conversation_trace,lfu,sampled,0.01,5,5743384.8,6204.040231977869,7702.098441223342,0.21537097397796062,0.0007640088422156068,0.0009484901923071001,0.8085753619500213,0.004453483552936666,0.005528843696771445,0.09572637902785362,0.00010409578564976382,0.00012923126840126285
conversation_trace,lfu,sampled,0.02,5,6998887.8,24940.484201394327,30962.736750286098,0.15722869874098733,0.0019615326982600164,0.0024351740757265583,0.49795101456822766,0.007331924829127061,0.009102327626199651,0.11665927089022392,0.00041598944922480613,0.0005164363170833746
conversation_trace,lfu,sampled,0.05,5,9798850.0,26775.57252422439,33240.93456691609,-0.21288771182547012,0.0033720562324185913,0.004186289591992017,-0.19939827540519472,0.0027794069484556633,0.003450536283579351,0.16332775805570726,0.0004474888674960511,0.0005555417405324184
conversation_trace,lru,sampled,0.001,5,2653696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044229587657018024,0.0,0.0
conversation_trace,lru,sampled,0.0025,5,2661727.0,987.4355675182052,1225.8666386768177,0.0,0.0,0.0,0.0,0.0,0.0,0.04437295193883124,1.7488651634968115e-05,2.1711547872061974e-05
conversation_trace,lru,sampled,0.01,5,3175650.6,5686.568895212648,7059.67591860109,0.0,0.0,0.0,0.0,0.0,0.0,0.05297139541234299,9.398576530760767e-05,0.00011668003259258846
conversation_trace,lru,sampled,0.02,5,4672343.4,13111.484214229906,16277.447977855869,0.0,0.0,0.0,0.0,0.0,0.0,0.0779423812124522,0.00021861647320780623,0.00027140468703614227
conversation_trace,lru,sampled,0.05,5,12239385.8,14261.33355265208,17704.945619063095,0.0,0.0,0.0,0.0,0.0,0.0,0.2041626843255052,0.00023359285140302222,0.0002899973355102755
conversation_trace,offline_next_use,heap,0.001,5,5353672.0,0.0,0.0,1.0,0.0,0.0,1.0174398273200849,0.0,0.0,0.08932960131075915,0.0,0.0
conversation_trace,offline_next_use,heap,0.0025,5,7846983.0,0.0,0.0,1.0,0.0,0.0,1.9480798984466101,0.0010935556650930574,0.0013576110193629443,0.13093084380120154,0.0,0.0
conversation_trace,offline_next_use,heap,0.01,5,15098016.0,0.0,0.0,1.0,0.0,0.0,3.754318589451416,0.008502759775378883,0.010555878163795223,0.2518432550518842,0.0,0.0
conversation_trace,offline_next_use,heap,0.02,5,19469473.0,0.0,0.0,1.0,0.0,0.0,3.1669872653643965,0.011673696058354617,0.01449248438959654,0.3247286318951393,0.0,0.0
conversation_trace,offline_next_use,heap,0.05,5,23703489.0,0.0,0.0,1.0,0.0,0.0,0.9366588416485815,0.0022548670466017787,0.0027993383852155836,0.3953184735117422,0.0,0.0
synthetic_trace,learned_binary_h300,sampled,0.001,5,200192.0,0.0,0.0,0.009280198988882165,0.0,0.0,0.07123287671232877,0.0,0.0,0.0061520548807351,0.0,0.0
synthetic_trace,learned_binary_h300,sampled,0.0025,5,353280.0,0.0,0.0,-0.01303984422572452,1.939479807224432e-18,2.407796184655808e-18,-0.10039113428943938,1.5515838457795457e-17,1.9262369477246465e-17,0.010856567436591353,0.0,0.0
synthetic_trace,learned_binary_h300,sampled,0.01,5,1747456.0,0.0,0.0,-0.0369271801348918,0.0,0.0,-0.11721417605339587,0.0,0.0,0.05370067342186417,7.757919228897728e-18,9.631184738623232e-18
synthetic_trace,learned_binary_h300,sampled,0.02,5,3048982.4,125559.28580873657,155877.45136209103,-0.169302244234557,0.017083588609025556,0.021208676326415214,-0.2886054910528685,0.02917648325052923,0.03622158106035341,0.09370004405563598,0.003860922648612997,0.004793200108582426
