trace,policy,eviction,size_model,capacity_fraction,capacity_bytes,working_set_bytes,avoided_prefill_tokens,reused_prefix_tokens,avoided_tokens_per_cache_byte,block_hit_rate,request_hit_rate,measured_requests,gain_vs_lru_fraction,headroom_closure
toolagent_trace,lfu,sampled,packed,0.0025,446163482,178465392640,30865408,30865408,0.0691795927843328,0.3594066725490664,0.9997999399819946,9997,0.04501778233466244,0.24841985886625925
toolagent_trace,longest_first,sampled,packed,0.0025,446163482,178465392640,2699264,2699264,0.0060499438185754525,0.03143109245701476,0.47304191257377215,9997,-0.9086103485424268,-5.013948774094467
toolagent_trace,frequency_x_prefix_length,sampled,packed,0.0025,446163482,178465392640,30661632,30661632,0.06872286333824157,0.35703383969665897,0.9992997899369811,9997,0.03811848770641622,0.2103477524909526
toolagent_trace,structural,sampled,packed,0.0025,446163482,178465392640,30678528,30678528,0.06876073286517878,0.35723058211909475,1.0,9997,0.03869053977358236,0.21350448492910618
toolagent_trace,online,sampled,packed,0.0025,446163482,178465392640,30258011,30258011,0.0678182151178388,0.35234779290773377,0.9994998499549865,9997,0.024452991292965312,0.1349379807449784
toolagent_trace,fixed_self,sampled,packed,0.0025,446163482,178465392640,30152408,30152408,0.0675815238504885,0.3511136813488184,0.9994998499549865,9997,0.02087756430143203,0.11520784250715103
toolagent_trace,fixed_cross_conversation_trace,sampled,packed,0.0025,446163482,178465392640,30056373,30056373,0.06736627763721818,0.3500107314048601,0.9994998499549865,9997,0.017626083461570484,0.09726532358562655
toolagent_trace,fixed_cross_synthetic_trace,sampled,packed,0.0025,446163482,178465392640,30084608,30084608,0.0674295616152646,0.35031478787589726,0.9992997899369811,9997,0.018582042867136064,0.10254055680007175
toolagent_trace,offline_next_use,heap,packed,0.0025,446163482,178465392640,34888143,34888143,0.07819587305444241,0.40652946366823267,0.9994998499549865,9997,0.1812165200484172,1.0
toolagent_trace,lru,sampled,packed,0.01,1784653926,178465392640,30509906,30509906,0.017095698810571523,0.3553704719433382,0.9993998199459838,9997,0.0,0.0
toolagent_trace,lfu,sampled,packed,0.01,1784653926,178465392640,32977803,32977803,0.018478542265006063,0.38403524670307393,1.0,9997,0.08088838425133135,0.2116374769701716
toolagent_trace,longest_first,sampled,packed,0.01,1784653926,178465392640,2421248,2421248,0.0013567044930816463,0.028193785324207663,0.47304191257377215,9997,-0.9206405945662369,-2.4087766671777735
toolagent_trace,frequency_x_prefix_length,sampled,packed,0.01,1784653926,178465392640,31445504,31445504,0.017619944988707014,0.36616149571936185,0.9992997899369811,9997,0.030665384547563013,0.08023333233856138
toolagent_trace,structural,sampled,packed,0.01,1784653926,178465392640,32936960,32936960,0.01845565659546253,0.3835284859180121,1.0,9997,0.07954970428293028,0.20813493635689126
toolagent_trace,online,sampled,packed,0.01,1784653926,178465392640,31910450,31910450,0.017880469448506398,0.3716047027400854,0.9995998799639892,9997,0.04590456620875856,0.12010533605969455
