trace,capacity_fraction,policy,packed_avoided_prefill_tokens,fixed_block_avoided_prefill_tokens,fixed_vs_packed_change_fraction
toolagent_trace,0.1,lru_2hit,95575284,95575284,0.0
toolagent_trace,0.1,lfu,99800762,99561230,-0.0024001019150535143
toolagent_trace,0.1,longest_first,25109327,25241868,0.005278556450358068
toolagent_trace,0.1,frequency_x_prefix_length,88901025,88865607,-0.0003983981062085617
toolagent_trace,0.1,structural,99942510,99942510,0.0
toolagent_trace,0.1,offline_next_use,115772917,115772917,0.0
synthetic_trace,0.001,lru,219136,215040,-0.018691588785046728
synthetic_trace,0.001,lru_2hit,250368,249856,-0.002044989775051125
synthetic_trace,0.001,lfu,300570,300058,-0.0017034301493828393
synthetic_trace,0.001,longest_first,167936,167936,0.0
synthetic_trace,0.001,frequency_x_prefix_length,295936,295936,0.0
synthetic_trace,0.001,structural,219136,219136,0.0
synthetic_trace,0.001,offline_next_use,2215622,2214598,-0.000462172699133697
synthetic_trace,0.0025,lru,472576,464896,-0.016251354279523293
synthetic_trace,0.0025,lru_2hit,598016,596992,-0.0017123287671232876
synthetic_trace,0.0025,lfu,809524,807988,-0.0018974113182561605
synthetic_trace,0.0025,longest_first,585728,585728,0.0
synthetic_trace,0.0025,frequency_x_prefix_length,661504,661504,0.0
synthetic_trace,0.0025,structural,624128,624128,0.0
synthetic_trace,0.0025,offline_next_use,4658992,4658992,0.0
synthetic_trace,0.005,lru,1174328,1149240,-0.02136370758425244
synthetic_trace,0.005,lru_2hit,1307648,1305600,-0.0015661707126076742
synthetic_trace,0.005,lfu,1567796,1567284,-0.000326573100071693
synthetic_trace,0.005,longest_first,851968,851968,0.0
synthetic_trace,0.005,frequency_x_prefix_length,1009152,1009152,0.0
synthetic_trace,0.005,structural,980480,980480,0.0
synthetic_trace,0.005,offline_next_use,7530791,7527207,-0.00047591282243790857
synthetic_trace,0.01,lru,2281380,2251172,-0.013241108451901918
synthetic_trace,0.01,lru_2hit,2403674,2400090,-0.001491050783092882
synthetic_trace,0.01,lfu,2792001,2789441,-0.0009169051157216635
synthetic_trace,0.01,longest_first,1660416,1653760,-0.004008633980881899
synthetic_trace,0.01,frequency_x_prefix_length,1821184,1821184,0.0
synthetic_trace,0.01,structural,1745920,1745920,0.0
synthetic_trace,0.01,offline_next_use,11222583,11215415,-0.0006387121396206203
synthetic_trace,0.02,lru,4728512,4696768,-0.0067133170012046075
synthetic_trace,0.02,lru_2hit,4897626,4887898,-0.001986268449244593
synthetic_trace,0.02,lfu,4579406,4575822,-0.0007826342543115854
