trace,policy,capacity_fraction,population,horizon_seconds,seeds,population_size_mean,snapshots,auc_mean,auc_ci95_half,average_precision_mean,average_precision_ci95_half,precision_at_100_mean,precision_at_100_ci95_half,prevalence_mean,prevalence_ci95_half
conversation_trace,learned_history,0.001,cached,60,5,178.16666666666666,24,0.6783990534814138,0.0,0.5330889543259828,0.0,0.11635416666666668,1.9262369477246465e-17,0.11057117494427052,1.9262369477246465e-17
conversation_trace,learned_history,0.001,cached,300,5,178.16666666666666,24,0.6225043757956249,0.000576139567079664,0.5806726464415113,5.7590410313499156e-05,0.43061594202898545,0.0,0.4014382964611419,0.000256070786349785
conversation_trace,learned_history,0.001,cached,600,5,178.16666666666666,24,0.5813872171692963,0.0005633883940327466,0.6490699556226767,6.131634031878798e-05,0.5600362318840579,0.0,0.5259586374462132,0.0002560707863498053
conversation_trace,learned_history,0.001,leaves,60,5,11.069565217391304,23,0.37997217626123875,0.0019921240798728814,0.2681656017593518,0.0028021085958651794,0.1664252414252414,0.0,0.11577408099147228,1.9262369477246465e-17
conversation_trace,learned_history,0.001,leaves,300,5,11.069565217391304,23,0.4509585523172479,0.003830992897001314,0.47105845015102654,0.002369346892809997,0.3611005381600347,0.0013831240327416888,0.3611005381600347,0.0013831240327416888
conversation_trace,learned_history,0.001,leaves,600,5,11.069565217391304,23,0.44046659861877246,0.0034381625214958463,0.530316038376006,0.0020481448568643863,0.4394163045192795,0.0013831240327416509,0.4394163045192795,0.0013831240327416509
conversation_trace,learned_history,0.001,observed,60,5,40000.0,24,0.8913164520553378,0.0015939684121108332,0.09930780550409227,0.0017339213544338185,0.1259375,0.008379848439029862,0.011955,0.00020190046560399723
conversation_trace,learned_history,0.001,observed,300,5,40000.0,24,0.8696036143413481,0.0012287444965262588,0.23801235450651906,0.002090911338261295,0.39825000000000005,0.010399713436222901,0.035940625000000004,6.991019065160602e-05
conversation_trace,learned_history,0.001,observed,600,5,40000.0,24,0.8530782817673893,0.0013554294902818932,0.2878307778512344,0.0032685792519106353,0.48929166666666674,0.012438335347715225,0.04856020833333334,0.00014737687748780906
conversation_trace,learned_history,0.001,observed_protocol,60,5,40000.0,24,0.9025503467032043,0.0013027344051877712,0.1452642460666157,0.0020346479492805475,0.27516666666666667,0.013930992442911058,0.011955,0.00020190046560399723
conversation_trace,learned_history,0.001,observed_protocol,300,5,40000.0,24,0.8803032680730241,0.0010129633917650616,0.3181280434981409,0.0024222666671240177,0.6515833333333333,0.009328213691091445,0.035940625000000004,6.991019065160602e-05
conversation_trace,learned_history,0.001,observed_protocol,600,5,40000.0,24,0.8611100237072427,0.0010924896198723194,0.36822923765994664,0.0022172411136177875,0.7230000000000001,0.008407940400465372,0.04856020833333334,0.00014737687748780906
conversation_trace,learned_history,0.0025,cached,60,5,442.0583333333334,24,0.4895522588246866,0.0130552260497986,0.29507910502151324,0.0027464722702365135,0.15047916666666666,0.0018908935351074324,0.1980748802386035,0.009197710358254648
conversation_trace,learned_history,0.0025,cached,300,5,442.0583333333334,24,0.4852701512373228,0.010072706597662018,0.5636968920991366,0.002243199038137559,0.49373958333333334,0.0033872021076480755,0.5209311342178824,0.011702631271298532
conversation_trace,learned_history,0.0025,cached,600,5,442.0583333333334,24,0.47847935168436984,0.010116912710805089,0.6622658995432327,0.001157638808431848,0.60815625,0.003142351694767979,0.6411584255164124,0.01205757584637507
