evaluated_on,fitted_on,standardization,horizon_seconds,auc,auc_std,average_precision,precision_at_100,test_snapshots,mean_positive_states,mean_candidate_states
conversation_trace,conversation_trace,none,10,0.9002349803657922,0.05077081212759461,0.03703141241599189,0.04125,24,76.79166666666667,40000.0
conversation_trace,conversation_trace,none,60,0.9005915673520328,0.026649724108697384,0.1442363924562369,0.2820833333333333,24,482.2916666666667,40000.0
conversation_trace,conversation_trace,none,300,0.8781972111856859,0.02010001669200982,0.32471558480405993,0.68,24,1440.0833333333333,40000.0
conversation_trace,conversation_trace,none,600,0.8571287609078575,0.012850459363890154,0.3723087538420245,0.7729166666666667,24,1941.2083333333333,40000.0
conversation_trace,synthetic_trace,none,10,0.7037395246846437,0.0918861565353295,0.012615212354988773,0.005833333333333334,24,76.79166666666667,40000.0
conversation_trace,synthetic_trace,none,60,0.7081327135563159,0.030275681954915028,0.03348265816645621,0.05916666666666667,24,482.2916666666667,40000.0
conversation_trace,synthetic_trace,none,300,0.7032897168291438,0.010271291229795435,0.07996662925663034,0.13,24,1440.0833333333333,40000.0
conversation_trace,synthetic_trace,none,600,0.6941485650288498,0.010329080909781,0.10049066425862889,0.1475,24,1941.2083333333333,40000.0
conversation_trace,toolagent_trace,none,10,0.8987039812379574,0.05001150389363586,0.036814135668789376,0.04541666666666667,24,76.79166666666667,40000.0
conversation_trace,toolagent_trace,none,60,0.8991959287161552,0.02568747250304893,0.14399249011270698,0.28750000000000003,24,482.2916666666667,40000.0
conversation_trace,toolagent_trace,none,300,0.8779652727517798,0.01915657260815288,0.32299984166994106,0.6716666666666667,24,1440.0833333333333,40000.0
conversation_trace,toolagent_trace,none,600,0.8580086612159032,0.0115023979586125,0.37037571959955257,0.7629166666666666,24,1941.2083333333333,40000.0
synthetic_trace,conversation_trace,none,10,0.7411185969383774,0.05398821372448825,0.07612493906748442,0.09166666666666667,24,1040.25,38685.125
synthetic_trace,conversation_trace,none,60,0.7778069968724225,0.02853061433087552,0.3032759068103976,0.3983333333333334,24,5046.875,38685.125
synthetic_trace,conversation_trace,none,300,0.8337705807568772,0.01212160039018054,0.6747378797333656,0.8745833333333334,24,11838.541666666666,38685.125
synthetic_trace,synthetic_trace,none,10,0.7034427037007012,0.05304009487706771,0.05462294294063885,0.024583333333333336,24,1040.25,38685.125
synthetic_trace,synthetic_trace,none,60,0.7409829410736893,0.010406064002205555,0.26077133283097625,0.11083333333333334,24,5046.875,38685.125
synthetic_trace,synthetic_trace,none,300,0.7871741566633178,0.004667525115764433,0.5753760508208249,0.5395833333333334,24,11838.541666666666,38685.125
synthetic_trace,toolagent_trace,none,10,0.7468757559646285,0.05208880130356744,0.07724858801479378,0.08791666666666666,24,1040.25,38685.125
