trace,target,population,cell,standardization,ranker_standardize,horizon_seconds,split_ms,train_rows,train_positives,seconds,fit_iterations,fit_converged,fit_condition_number,log_frequency,neg_log_recency,log_prefix_tokens,log_age,log_reuse_rate,single_occurrence,log_mean_interval,log_median_interval,log_std_interval,interval_cv,log_interval_lag1,log_interval_lag2,log_interval_lag3,log_interval_lag4,log_freq_10s,log_freq_60s,log_freq_300s,log_freq_600s,recent_over_lifetime,interval_trend,burstiness,log_fan_out,log_branch_diversity,phase09_coefficients_found,phase09_max_coefficient_deviation,l1_fraction,population_rows,train_pool_rows,l2_multiplier,duplicate_rows_dropped,repeated_time_state_rows,rows_before_dedup,train_decisions
conversation_trace,binary,A_none,,ranker,True,600.0,2122199.4,142484,21910,4.922780990600586,7,True,nan,-0.061519581481364646,0.3952092344775195,-0.04380835835990673,-0.1577974918574282,-0.11042198575311482,0.09316938391645617,0.14461820617076035,0.11561410877057013,-0.02048535732865597,0.09855791424875007,0.14684229722044811,-0.053506256254073875,0.06960180202108647,0.06072205140871626,-0.11842950102810211,0.057263599698346206,0.27812766988654275,0.23189059350889768,0.21334742390449085,0.020403366152989155,0.05186019476840695,0.2958774325812698,-0.0026209414934569224,,,,,,,,,,
conversation_trace,binary,A_pd,,per_decision,True,600.0,2122199.4,142484,21910,6.711870193481445,6,True,nan,-0.010604681941344927,0.32576032196329174,-0.041559102190784625,0.02184072875430243,-0.05476847838063721,0.10386046836827989,0.11730835927565549,0.08864389651665085,-0.0458060113293656,0.09432653203041776,0.10895808785648765,-0.06951100979427635,0.051586920255504855,0.018956693138154197,-0.08311050864530237,0.07136264793363913,0.18833382474890453,0.14943708117783042,0.046468075543373066,0.0189407817760885,0.09760178776537722,0.286037782548956,0.08442804005972207,True,0.0,,,,,,,,
conversation_trace,binary,B,l1=0.0025,ranker,True,600.0,2122199.4,118656,39763,0.0716860294342041,6,True,nan,0.14755427752739486,0.03725605016934195,-0.12520559027288475,0.00284654185084444,-0.004803675354927543,-0.1061396837694634,0.01400675379794282,-0.056696376735090585,-0.015558120772872554,0.2563159840806484,0.018603523805052424,-0.030638376089454123,0.02398682802395581,0.12884284044572003,-0.0067720661684285985,0.03392078135661436,-0.1426881041127627,0.1614031910723827,0.18052052266734092,0.041708207672443515,-0.12986852068322352,0.29901159096476065,0.13428414663119315,,,0.0025,275832,118656,,,,,
conversation_trace,binary,B,l1=0.01,ranker,True,600.0,2122199.4,116048,38627,0.09065461158752441,6,True,nan,0.13647039347145487,0.06630165195550752,-0.10244271334431995,0.016911363305142754,0.0028049796174264906,-0.09083514720602606,0.036047766130431425,-0.041225379899293195,-0.04106872100160025,0.25274872762562023,0.0400822201093044,-0.03548572355948279,0.028266696285858737,0.08882979290466951,0.0,0.03889133324103761,-0.1745318896558006,0.15842156339559896,0.1281440437900592,0.03567709544162466,-0.11357781410271113,0.29918970920413945,0.12326676735920158,,,0.01,271289,116048,,,,,
conversation_trace,binary,B,l1=0.02,ranker,True,600.0,2122199.4,110568,34979,0.08838534355163574,6,True,nan,0.11411731196410185,-0.027958626565579923,-0.07592900326357957,-0.001240551237290892,0.019767859150142574,-0.11118786829774864,0.0503977559654221,-0.03206757451925744,-0.07295627863963611,0.24164629260665652,0.05210588748310301,-0.021498923831312414,0.025184403249127085,0.0965283099968116,0.0,-0.022247712921317792,-0.19696905670353237,0.16859995399194772,0.10805246701137511,0.012221909105445994,-0.13837959180650888,0.29443658334299744,0.0865479488454833,,,0.02,261582,110568,,,,,
conversation_trace,binary,C_lfu,"l1=0.0025,l2x1",ranker,True,600.0,2122199.4,150000,93820,0.3069338798522949,6,True,nan,-0.19575162664602822,0.37791268916441845,0.10055905262410603,-0.17375787222914846,-0.0897736515050356,-0.11387422451841937,0.34257899253962365,-0.28818288315914875,-0.5001677474955495,1.5015443560976187,0.3175681973461877,-0.12279821353638763,0.3282192126103819,0.037284702089077186,-0.14104695937914724,0.12846390061805735,0.014181892227941046,0.03759833954175199,-0.03216225082319989,-0.03475649661707971,0.07722310720283866,-0.004149164367851593,-0.11601347105276161,,,0.0025,,289660,1.0,0,124890,289660,17050
conversation_trace,binary,C_lfu,"l1=0.0025,l2x4",ranker,True,600.0,2122199.4,150000,72485,0.28204774856567383,5,True,nan,-0.055493472628497006,0.5972089603963099,0.10195748251471816,0.0176299788351764,-0.06385794804998518,0.38398039609264467,0.315563481308558,-0.06951298390124352,-0.31775273990491426,0.7061715922225759,0.3246921397374709,-0.137798694645407,0.21750240174526211,-0.09253983689045206,-0.19970727718169257,0.0031765991753731743,-0.023515618170871517,0.34269863663873085,-0.03609628452672768,0.04500657238180174,-0.10782156313462134,0.01120819894625597,0.03924519434590809,,,0.0025,,288476,4.0,0,46962,288476,16983
conversation_trace,binary,C_lfu,"l1=0.01,l2x1",ranker,True,600.0,2122199.4,150000,67915,0.2805452346801758,5,True,nan,-0.04559956728088302,0.7202359469447829,0.08936867597868868,0.07349195158847717,-0.1465410739875739,0.34310434355888936,0.25877207728240564,-0.08276653763404657,-0.3208673856578046,0.6695876617242161,0.27285438042823157,-0.16159312283445929,0.1619590668074995,-0.09694533525934163,0.0,-0.15375463629039185,-0.08224830046547565,0.31348378896325485,-0.06642536368488769,0.059235929563592186,-0.09457829465571856,0.019913716177900987,0.0819397376700869,,,0.01,,286826,1.0,0,45668,286826,16885
conversation_trace,binary,C_lfu,"l1=0.01,l2x4",ranker,True,600.0,2122199.4,150000,42041,0.6250686645507812,6,True,nan,-0.04337413982739932,0.6977619461191965,0.06695287515051132,-0.05153053341430337,-0.11243256137922646,0.2972742287190091,0.22903214134391428,0.06521735849421038,-0.11831489400594086,0.24756415465513995,0.24091477369940154,-0.08848736541267153,0.12431031603139234,0.12125308523830419,0.0,-0.10499499216139589,0.22801736102421744,0.2805651371955934,0.06641592643656456,0.06474050333251091,0.024370496637217215,0.07775931493406156,0.0410683376481759,,,0.01,,270979,4.0,0,12479,270979,15958
conversation_trace,binary,C_lfu,"l1=0.02,l2x1",ranker,True,600.0,2122199.4,150000,48254,0.527982234954834,6,True,nan,-0.012295374352033083,0.7602496242326392,0.06108626961350129,0.028412806734795716,-0.18415962484408607,0.2509068259441887,0.16469431889065775,-0.07501540310517667,-0.16826162858325686,0.38125752069923163,0.18430190217350872,-0.12678493038124533,0.08105867479839077,0.0965368574390493,0.0,-0.11939112025141978,0.13870454489945633,0.27505407269952475,-0.10087560339201158,0.08646428142763805,-0.11364289914923824,0.045219392158798,0.04621515882284648,,,0.02,,276737,1.0,0,24268,276737,16294
