evaluated_on,fitted_on,horizon_seconds,auc,auc_std,average_precision,precision_at_100,test_snapshots,mean_positive_states,mean_candidate_states
conversation_trace,conversation_trace,10,0.9016047632929342,0.050894290584401626,0.036848115461059795,0.04875000000000001,24,76.79166666666667,40000.0
conversation_trace,toolagent_trace,10,0.9005205827906188,0.04967370966557609,0.03774464226931454,0.05333333333333334,24,76.79166666666667,40000.0
conversation_trace,synthetic_trace,10,0.7299148295578451,0.12655151310540094,0.0200875613323603,0.027083333333333334,24,76.79166666666667,40000.0
conversation_trace,conversation_trace,60,0.9038511476405567,0.026414854416148374,0.1454082788421072,0.27458333333333335,24,482.2916666666667,40000.0
conversation_trace,toolagent_trace,60,0.9018775533766643,0.02532372726432391,0.14528837638152184,0.28875,24,482.2916666666667,40000.0
conversation_trace,synthetic_trace,60,0.7314644229232409,0.06069718309087212,0.06243898042242229,0.17375,24,482.2916666666667,40000.0
conversation_trace,conversation_trace,300,0.8807780751596127,0.019428946545178342,0.31986328389651053,0.66375,24,1440.0833333333333,40000.0
conversation_trace,toolagent_trace,300,0.8790328390703976,0.01782189481048322,0.31708644489819354,0.6754166666666667,24,1440.0833333333333,40000.0
conversation_trace,synthetic_trace,300,0.70773622617688,0.023340476492108637,0.1339047780694631,0.3983333333333334,24,1440.0833333333333,40000.0
conversation_trace,conversation_trace,600,0.8610736138444955,0.012340804270322173,0.36955755304677124,0.7329166666666667,24,1941.2083333333333,40000.0
conversation_trace,toolagent_trace,600,0.8600003923462908,0.01140180478733544,0.3661476110715817,0.7374999999999999,24,1941.2083333333333,40000.0
conversation_trace,synthetic_trace,600,0.6936449148337896,0.025327739185696762,0.15550430337085366,0.455,24,1941.2083333333333,40000.0
toolagent_trace,conversation_trace,10,0.9365199495349709,0.030306863526860583,0.13491660736313996,0.09625,24,75.95833333333333,40000.0
toolagent_trace,toolagent_trace,10,0.9364102418252118,0.030145839186711716,0.13689243076584343,0.10000000000000002,24,75.95833333333333,40000.0
toolagent_trace,synthetic_trace,10,0.771370812225019,0.10838628857293567,0.11372767104649807,0.08208333333333333,24,75.95833333333333,40000.0
toolagent_trace,conversation_trace,60,0.9390621017229478,0.012780093389214068,0.18251961283641907,0.3225,24,439.75,40000.0
toolagent_trace,toolagent_trace,60,0.9378750876907375,0.012916862012859217,0.18368832033141413,0.3329166666666667,24,439.75,40000.0
toolagent_trace,synthetic_trace,60,0.7560070060952316,0.056698756560558776,0.08875931884921245,0.23333333333333336,24,439.75,40000.0
toolagent_trace,conversation_trace,300,0.9403917380674217,0.006325277085522192,0.3765092187280823,0.6854166666666668,24,1241.6666666666667,40000.0
toolagent_trace,toolagent_trace,300,0.9390359856503571,0.0058618435289934994,0.37437970684470795,0.6870833333333334,24,1241.6666666666667,40000.0
toolagent_trace,synthetic_trace,300,0.7493788399706066,0.02276195996191765,0.15617269660537983,0.43624999999999997,24,1241.6666666666667,40000.0
toolagent_trace,conversation_trace,600,0.9397729732006682,0.007910405892407695,0.4437359629966904,0.7566666666666667,24,1552.7083333333333,40000.0
toolagent_trace,toolagent_trace,600,0.9385364153715194,0.007637149201487188,0.44140100699735063,0.7416666666666666,24,1552.7083333333333,40000.0
toolagent_trace,synthetic_trace,600,0.7417047221097025,0.02064892399311774,0.17806176458847536,0.49333333333333335,24,1552.7083333333333,40000.0
synthetic_trace,conversation_trace,10,0.7406493507644297,0.052161807506381164,0.07259099499242128,0.11708333333333332,24,1040.25,38685.125
synthetic_trace,toolagent_trace,10,0.7449479132075346,0.050713530545717894,0.07143294575114839,0.08,24,1040.25,38685.125
synthetic_trace,synthetic_trace,10,0.625142101899746,0.06536628917521935,0.048596333800131127,0.045000000000000005,24,1040.25,38685.125
synthetic_trace,conversation_trace,60,0.7788639933098894,0.028606258750166872,0.3040665019366822,0.4879166666666667,24,5046.875,38685.125
synthetic_trace,toolagent_trace,60,0.781604934846246,0.02735526189358751,0.3039172578179455,0.39625,24,5046.875,38685.125
synthetic_trace,synthetic_trace,60,0.6536767496863544,0.02467479490944313,0.2309633568051553,0.2283333333333333,24,5046.875,38685.125
synthetic_trace,conversation_trace,300,0.8372126140738008,0.012776061428240523,0.6761238445575349,0.7787499999999999,24,11838.541666666666,38685.125
synthetic_trace,toolagent_trace,300,0.8407448284380606,0.011760438521605035,0.6785120283797758,0.73875,24,11838.541666666666,38685.125
synthetic_trace,synthetic_trace,300,0.6733076054322802,0.02287854735088791,0.5228643568305116,0.6358333333333334,24,11838.541666666666,38685.125
