trace,policy,eviction,capacity_fraction,seeds,avoided_prefill_tokens_mean,avoided_prefill_tokens_std,avoided_prefill_tokens_ci95_half,headroom_closure_mean,headroom_closure_std,headroom_closure_ci95_half,gain_vs_lru_fraction_mean,gain_vs_lru_fraction_std,gain_vs_lru_fraction_ci95_half,block_hit_rate_mean,block_hit_rate_std,block_hit_rate_ci95_half
conversation_trace,learned_history,sampled,0.001,5,2676736.0,0.0,0.0,0.008533409185859429,0.0,0.0,0.008682230368512445,0.0,0.0,0.044613599126160565,0.0,0.0
conversation_trace,learned_history,sampled,0.0025,5,2993049.6,13892.098934286352,17246.55378531869,0.06389715607443512,0.002629408707546614,0.0032643187262629118,0.12447619865828814,0.005107000205558279,0.006340161709431356,0.049885649918077556,0.00023154189762278164,0.0002874511482962741
conversation_trace,learned_history,sampled,0.005,5,3739545.6,47624.80778753862,59124.52919523089,0.12004413396198435,0.005651294968786771,0.0070158845756081445,0.36692958822412486,0.01727348896819754,0.021444430964631025,0.062327621518296,0.0007937705037380217,0.000985438251676298
conversation_trace,learned_history,sampled,0.01,5,5474406.4,18585.670523282177,23073.458361637026,0.19280976986273238,0.0018742612546901287,0.002326829638174668,0.7238801770883629,0.008474228653347184,0.010520457776062397,0.09124283178590933,0.00030977042719813116,0.00038456912515849167
conversation_trace,learned_history,sampled,0.02,5,8421099.2,42303.6382737939,52518.483798224726,0.2533421439508682,0.0031874332901606134,0.003957086681854551,0.8023485053864586,0.012051488933982403,0.01496150099968877,0.14035704533042054,0.0007060635391163493,0.0008765531300075021
conversation_trace,learned_history,sampled,0.05,5,13206187.8,70246.77957173553,87208.9140640431,0.08433381135298137,0.005857098637811809,0.0072713826154541,0.0789905067440427,0.005469653835034959,0.006790383476192183,0.22011196067722558,0.0011683008964488704,0.0014504046036061839
conversation_trace,learned_history,sampled,0.1,5,17203068.4,270134.2619074819,335362.2155501935,-0.015431557271358998,0.04305197637105088,0.05344751931006466,-0.005695069341791501,0.015910662995101476,0.01975253029820103,0.2867285636264336,0.004504809196086756,0.005592562683322094
conversation_trace,learned_history_observed_norm,sampled,0.001,5,3111936.0,25210.476552417647,31297.922788448843,0.169720027140982,0.009337296536123887,0.011591926294325882,0.17267991510708086,0.009500137375350323,0.011794087487206088,0.05186714909885308,0.00042018715879677107,0.0005216476263499221
conversation_trace,learned_history_observed_norm,sampled,0.0025,5,3599872.0,52894.82878316178,65667.0755001995,0.18092457264283174,0.010290638628997097,0.012775467079510388,0.352460811210115,0.02017060805877084,0.025041102745792132,0.059999658656471874,0.0008816068103761009,0.0010944839469238749
conversation_trace,learned_history_observed_norm,sampled,0.005,5,4475801.6,105210.33172079631,130614.93827369926,0.20808440956710852,0.013087458268004747,0.01624762060794039,0.6361208352161857,0.041735910264594674,0.05181366937871892,0.07459892135445112,0.0017535579016092662,0.0021769806570506108
conversation_trace,learned_history_observed_norm,sampled,0.01,5,6047129.6,72600.62509923727,90131.13076322009,0.24084643305063427,0.006334414609560764,0.00786395366021127,0.9042438597037036,0.02520209239788891,0.03128751415454059,0.10078850354997271,0.001210046558377832,0.001502230379334332
conversation_trace,learned_history_observed_norm,sampled,0.02,5,8511897.6,60119.57109627446,74636.33979046757,0.259479337060202,0.0040839660116691835,0.005070100624163479,0.8217721071984746,0.013626496288414279,0.01691681741220302,0.14186919716002183,0.0010020227786849067,0.001243976149928815
conversation_trace,learned_history_observed_norm,sampled,0.05,5,13302169.6,29579.689464225277,36722.1474386939,0.09270328913801615,0.003176524500611417,0.0039435438020793,0.08683510379123582,0.0031101328227845235,0.0038611208616758826,0.22170944838885856,0.0004930095489556102,0.0006120540706598006
conversation_trace,learned_history_observed_norm,sampled,0.1,5,17124769.2,26846.472686369805,33328.95463253848,-0.027635303827676143,0.0044500500191624074,0.005524581084966592,-0.010224301388055926,0.0016381851068692755,0.002033749377223276,0.285422924631349,0.00044587487976561867,0.0005535380313497082
conversation_trace,lfu,sampled,0.001,5,3107328.0,0.0,0.0,0.1680133453038101,0.0,0.0,0.17094346903337834,0.0,0.0,0.051790346805024576,0.0,0.0
conversation_trace,lfu,sampled,0.0025,5,3630080.0,0.0,0.0,0.18675121877413015,0.0001548760918639796,0.00019227323826493452,0.36380643079678787,0.0005058880016358869,0.000628042218158081,0.060503140360458764,0.0,0.0
