horizon_seconds,model,train_decisions,train_rows,train_prevalence,test_decisions,test_rows,within_decision_auc_micro,within_decision_auc_macro,pooled_auc,regret_when_avoidable,decisions,decisions_with_both_classes,prevalence,status,trace,capacity_fraction,seed,decisions_seen,decisions_kept
300,gbm_plus_context,8803,35837,0.5188492340318666,5111,18354,0.5500805894542943,0.5327134432381718,0.5286727955010297,0.587012987012987,5111,0.8109958912150265,0.6073335512694781,ok,synthetic_trace,0.0025,0,120918,40000
300,linear,8803,35837,0.5188492340318666,5111,18354,0.6348146442551232,0.623132958048519,0.6109401004119812,0.45171192443919717,5111,0.8109958912150265,0.6073335512694781,ok,synthetic_trace,0.0025,0,120918,40000
300,recency,8803,35837,0.5188492340318666,5111,18354,0.5452452221966383,0.5545074386811419,0.5498551970737957,0.4110979929161747,5111,0.8109958912150265,0.6073335512694781,ok,synthetic_trace,0.0025,0,120918,40000
60,arm,17509,167311,0.1388253013848462,17176,170737,0.4604884850510207,0.41532417173350716,0.4067059036131648,0.45949573946539046,17176,0.8769212855146716,0.4195341372988866,ok,synthetic_trace,0.01,0,117533,40000
60,frequency,17509,167311,0.1388253013848462,17176,170737,0.5715211717188013,0.5238139889530007,0.6532567212193581,0.37481031866464337,17176,0.8769212855146716,0.4195341372988866,ok,synthetic_trace,0.01,0,117533,40000
60,gbm,17509,167311,0.1388253013848462,17176,170737,0.4960546103009386,0.4770850614297226,0.40653907824909385,0.3500641998365822,17176,0.8769212855146716,0.4195341372988866,ok,synthetic_trace,0.01,0,117533,40000
60,gbm_plus_context,17509,167311,0.1388253013848462,17176,170737,0.5557799454934114,0.5394972626212609,0.45401250625858003,0.2905918057663126,17176,0.8769212855146716,0.4195341372988866,ok,synthetic_trace,0.01,0,117533,40000
60,linear,17509,167311,0.1388253013848462,17176,170737,0.4112164879549658,0.4227672224312243,0.3422408813200836,0.5234037586086144,17176,0.8769212855146716,0.4195341372988866,ok,synthetic_trace,0.01,0,117533,40000
60,recency,17509,167311,0.1388253013848462,17176,170737,0.5109344480487679,0.5522862887788516,0.5907624168002871,0.21909653320882455,17176,0.8769212855146716,0.4195341372988866,ok,synthetic_trace,0.01,0,117533,40000
300,arm,8931,93538,0.459310654493361,5236,44462,0.6698404647731464,0.6547533008901242,0.6106301241001559,0.6811789635908303,5236,0.991405653170359,0.5746705051504656,ok,synthetic_trace,0.01,0,117533,40000
300,frequency,8931,93538,0.459310654493361,5236,44462,0.5504599317594984,0.5405381910999808,0.5737192714640085,0.5917934887304951,5236,0.991405653170359,0.5746705051504656,ok,synthetic_trace,0.01,0,117533,40000
300,gbm,8931,93538,0.459310654493361,5236,44462,0.5709263187015862,0.536989546926457,0.5306272119836946,0.24985551916779042,5236,0.991405653170359,0.5746705051504656,ok,synthetic_trace,0.01,0,117533,40000
300,gbm_plus_context,8931,93538,0.459310654493361,5236,44462,0.5263509774990778,0.4982227175850755,0.49208988543239385,0.2858794066653824,5236,0.991405653170359,0.5746705051504656,ok,synthetic_trace,0.01,0,117533,40000
300,linear,8931,93538,0.459310654493361,5236,44462,0.4198058834378458,0.42248334265960924,0.4277472607997665,0.554035831246388,5236,0.991405653170359,0.5746705051504656,ok,synthetic_trace,0.01,0,117533,40000
300,recency,8931,93538,0.459310654493361,5236,44462,0.4998732017705644,0.512462026003492,0.5197395032437021,0.7380080909266037,5236,0.991405653170359,0.5746705051504656,ok,synthetic_trace,0.01,0,117533,40000
60,arm,17713,276701,0.15843455571176107,17423,247995,0.45053474837384455,0.4384555346137145,0.4944313557812191,0.4620329449578144,17423,0.9847328244274809,0.38241900038307225,ok,synthetic_trace,0.02,0,113161,40000
60,frequency,17713,276701,0.15843455571176107,17423,247995,0.5666573091407052,0.5676016731721868,0.6341044682847943,0.3319749756069563,17423,0.9847328244274809,0.38241900038307225,ok,synthetic_trace,0.02,0,113161,40000
60,gbm,17713,276701,0.15843455571176107,17423,247995,0.46128106812735364,0.4627464201451391,0.42691518596226163,0.2605177064799403,17423,0.9847328244274809,0.38241900038307225,ok,synthetic_trace,0.02,0,113161,40000
60,gbm_plus_context,17713,276701,0.15843455571176107,17423,247995,0.4837891133173571,0.4864377226315347,0.4498671491950999,0.1713826551110601,17423,0.9847328244274809,0.38241900038307225,ok,synthetic_trace,0.02,0,113161,40000
60,linear,17713,276701,0.15843455571176107,17423,247995,0.44319068812050666,0.42762260415437175,0.40145396478614,0.40790908569132756,17423,0.9847328244274809,0.38241900038307225,ok,synthetic_trace,0.02,0,113161,40000
60,recency,17713,276701,0.15843455571176107,17423,247995,0.619567271482369,0.6425898133277306,0.6427298420338162,0.13442001951443494,17423,0.9847328244274809,0.38241900038307225,ok,synthetic_trace,0.02,0,113161,40000
300,arm,9121,140158,0.45253214229655103,5340,82248,0.5102919100461982,0.5057246661777326,0.5322127595838771,0.6808988764044944,5340,1.0,0.6708734558895049,ok,synthetic_trace,0.02,0,113161,40000
300,frequency,9121,140158,0.45253214229655103,5340,82248,0.5231826954881342,0.5189176702212166,0.5141612600563313,0.6275280898876404,5340,1.0,0.6708734558895049,ok,synthetic_trace,0.02,0,113161,40000
300,gbm,9121,140158,0.45253214229655103,5340,82248,0.46747407485488096,0.46007081529494925,0.45857289140322344,0.7073033707865168,5340,1.0,0.6708734558895049,ok,synthetic_trace,0.02,0,113161,40000
300,gbm_plus_context,9121,140158,0.45253214229655103,5340,82248,0.41433706868664105,0.4088575674481573,0.4303549939054079,0.48895131086142324,5340,1.0,0.6708734558895049,ok,synthetic_trace,0.02,0,113161,40000
300,linear,9121,140158,0.45253214229655103,5340,82248,0.34812935493368324,0.3501051800969872,0.3655380491866314,0.9973782771535581,5340,1.0,0.6708734558895049,ok,synthetic_trace,0.02,0,113161,40000
300,recency,9121,140158,0.45253214229655103,5340,82248,0.4878143639661383,0.4910647691753731,0.4961451261413125,0.797752808988764,5340,1.0,0.6708734558895049,ok,synthetic_trace,0.02,0,113161,40000
60,arm,18479,295664,0.15510850154229125,17319,277104,0.4522401151194114,0.4525874447534565,0.4485795178864721,0.4312027253305618,17319,0.9992493792944165,0.3760717997574918,ok,synthetic_trace,0.05,0,102422,40000
60,frequency,18479,295664,0.15510850154229125,17319,277104,0.536730209168974,0.5360588537067251,0.5440764487120895,0.3879554246780992,17319,0.9992493792944165,0.3760717997574918,ok,synthetic_trace,0.05,0,102422,40000
60,gbm,18479,295664,0.15510850154229125,17319,277104,0.49753352707189447,0.49569047787494425,0.4924576556638518,0.27403429759223974,17319,0.9992493792944165,0.3760717997574918,ok,synthetic_trace,0.05,0,102422,40000
60,gbm_plus_context,18479,295664,0.15510850154229125,17319,277104,0.5109854550411044,0.5099574016429081,0.5087695269976681,0.24112246665511866,17319,0.9992493792944165,0.3760717997574918,ok,synthetic_trace,0.05,0,102422,40000
60,linear,18479,295664,0.15510850154229125,17319,277104,0.6356768207731022,0.629922889858931,0.6150761306835099,0.19562330388590565,17319,0.9992493792944165,0.3760717997574918,ok,synthetic_trace,0.05,0,102422,40000
60,recency,18479,295664,0.15510850154229125,17319,277104,0.6266308323162579,0.622004285358487,0.6286358917829333,0.11241988567469254,17319,0.9992493792944165,0.3760717997574918,ok,synthetic_trace,0.05,0,102422,40000
300,arm,9325,149200,0.462044235924933,5500,88000,0.49644517989940545,0.4953619959826763,0.4902579127884217,0.658966897053474,5500,0.9996363636363637,0.6519090909090909,ok,synthetic_trace,0.05,0,102422,40000
300,frequency,9325,149200,0.462044235924933,5500,88000,0.5418893198422405,0.540712775330193,0.5361254337298612,0.5381957075300109,5500,0.9996363636363637,0.6519090909090909,ok,synthetic_trace,0.05,0,102422,40000
