trace,population,population_cell,split,horizon_seconds,target,model,model_cell,scoring,metric,rows,groups,prevalence,pooled_metric,within_decision_micro,within_decision_macro,decisions_scored,decisions_constant_label,decisions_constant_label_share,evicted_lowest_label_rate
conversation_trace,candidates_lfu,"l1=0.0025,l2x1",test,600.0,binary,A_none,,raw,auc,154891.0,9118.0,0.7918342576392431,0.5331209563572078,0.5326218711489121,0.5558958164354921,8790.0,328.0,0.03597280105286247,0.5135994735687651
conversation_trace,candidates_lfu,"l1=0.0025,l2x4",test,600.0,binary,A_none,,raw,auc,154666.0,9104.0,0.5440691554704977,0.7382954472262083,0.7368229459334001,0.7369052731877451,9104.0,0.0,0.0,0.9022407732864675
conversation_trace,candidates_lfu,"l1=0.01,l2x1",test,600.0,binary,A_none,,raw,auc,155731.0,9168.0,0.5114331764388593,0.727903788385971,0.7257699341093147,0.7258131997376707,9167.0,1.0,0.00010907504363001745,0.9037958115183246
conversation_trace,candidates_lfu,"l1=0.01,l2x4",test,600.0,binary,A_none,,raw,auc,162183.0,9551.0,0.24907049444146429,0.8325543665384045,0.8322553982849468,0.8320213137311059,9454.0,97.0,0.01015600460684745,0.9934038320594702
conversation_trace,candidates_lfu,"l1=0.02,l2x1",test,600.0,binary,A_none,,raw,auc,159634.0,9399.0,0.3184346693060376,0.7835299085117242,0.7830207801703387,0.7817629298266292,9380.0,19.0,0.002021491648047665,0.9604213214171721
conversation_trace,candidates_lfu,"l1=0.02,l2x4",test,600.0,binary,A_none,,raw,auc,172128.0,10139.0,0.16071179587283882,0.8512663253647239,0.8512977226833891,0.8512672655718843,9635.0,504.0,0.0497090442844462,0.9997041128316402
conversation_trace,candidates_lfu_train,"l1=0.0025,l2x1",train,600.0,binary,A_none,,raw,auc,289660.0,17050.0,0.6258751639853621,0.6706321380697182,0.6400507951441328,0.6524212483771308,16983.0,67.0,0.003929618768328446,0.8018181818181818
conversation_trace,candidates_lfu_train,"l1=0.0025,l2x4",train,600.0,binary,A_none,,raw,auc,288476.0,16983.0,0.48180784536668564,0.6683910204723997,0.6569301183299844,0.656597842176606,16978.0,5.0,0.00029441205911794147,0.8423129011364305
conversation_trace,candidates_lfu_train,"l1=0.01,l2x1",train,600.0,binary,A_none,,raw,auc,286826.0,16885.0,0.45221841813503655,0.6561346583240227,0.6446565399303783,0.6443134583208788,16879.0,6.0,0.00035534498075214687,0.8268285460467871
conversation_trace,candidates_lfu_train,"l1=0.01,l2x4",train,600.0,binary,A_none,,raw,auc,270979.0,15958.0,0.28051989268541105,0.7316048718451992,0.7214202315812746,0.725474821033721,15885.0,73.0,0.004574508083719764,0.9514350169194135
conversation_trace,candidates_lfu_train,"l1=0.02,l2x1",train,600.0,binary,A_none,,raw,auc,276737.0,16294.0,0.32152549171234784,0.6909979062132182,0.681194484259424,0.682385140949856,16252.0,42.0,0.002577635939609672,0.9288081502393519
conversation_trace,candidates_lfu_train,"l1=0.02,l2x4",train,600.0,binary,A_none,,raw,auc,251376.0,14811.0,0.19462478518235632,0.7520315280887212,0.7468881817037355,0.7489329921326722,14378.0,433.0,0.029235028019715077,0.9838633448112889
